Data;Godzina;Goście;Gospodarze;Sezon;Stadion;Sędzia;AG;AvgA;AvgD;AvgH;HG;MaxA;MaxD;MaxH;PA;PD;PH;Czerwone kartki A;Czerwone kartki H;Faule A;Faule H;Interwencje bramkarzy A;Interwencje bramkarzy H;Posiadanie piłki A;Posiadanie piłki H;Rzuty rożne A;Rzuty rożne H;Rzuty wolne A;Rzuty wolne H;Spalone A;Spalone H;Strzały na bramkę A;Strzały na bramkę H;Strzały niecelne A;Strzały niecelne H;Strzały zablokowane A;Strzały zablokowane H;Sytuacje bramkowe A;Sytuacje bramkowe H;Wrzuty z autu A;Wrzuty z autu H;Żółte kartki A;Żółte kartki H;Zawodnik 1 A;Zawodnik 1 H;Zawodnik 2 A;Zawodnik 2 H;Zawodnik 3 A;Zawodnik 3 H;Zawodnik 4 A;Zawodnik 4 H;Zawodnik 5 A;Zawodnik 5 H;Zawodnik 6 A;Zawodnik 6 H;Zawodnik 7 A;Zawodnik 7 H;Zawodnik 8 A;Zawodnik 8 H;Zawodnik 9 A;Zawodnik 9 H;Zawodnik 10 A;Zawodnik 10 H;Zawodnik 11 A;Zawodnik 11 H;Res
19.07.2013;18:00;Pogoń Szczecin;Zagłębie Lubin;2013/2014;;;2;4,47;3,36;1,81;0;5;3,7;1,87;4,87;3,67;1,83;0;0;21;17;1;3;0,43;0,57;4;1;20;26;3;1;5;1;5;9;;;10;10;23;29;0;1;Akahoshi T.;Banas A.;Bak J.;Bilek J.;Chalas T.;Gliwa M.;Dąbrowski M.;Guldan L.;Frączczak A.;Jez R.;Golla W.;Kwiek A.;Janukiewicz R.;Oleksy P.;Lawa B.;Papadopulos M.;Lewandowski M.;Piątek L.;Murayama T.;Przybecki M.;Rogalski M.;Rymaniak B.;A
19.07.2013;20:30;Górnik Zabrze;Wisła Kraków;2013/2014;;;0;3,15;3,07;2,32;0;3,51;3,2;2,45;3,51;3,16;2,36;0;0;12;9;2;2;;;7;6;;;3;0;2;2;4;8;2;3;8;13;;;0;1;Danch A.;Bunoza G.;Gancarczyk S.;Chrapek M.;Kosznik R.;Gargula L.;Malkowski M.;Glowacki A.;Mączyński K.;Jovanovic M.;Nakoulma P.;Malecki P.;Olkowski P.;Miskiewicz M.;Przybylski M.;Nalepa M.;Sobolewski R.;Sarki E.;Witkowski N.;Stjepanovic O.;Zachara M.;Stolarski P.;D
20.07.2013;15:30;Jagiellonia Białystok;Zawisza Bydgoszcz;2013/2014;;;1;3,32;3,15;2,18;0;3,73;3,3;2,5;3,73;3,3;2,19;0;1;;;3;3;;;4;0;24;13;;;4;3;6;6;6;2;16;11;19;23;2;4;Slowik J.;Kaczmarek W.;Norambuena A.;Lewczuk I.;Pazdan M.;Skrzynski L.;Straus J.;Strak P.;Tosik J.;Ziajka S.;Baran M.;Goulon H.;Quintana D.;Hermes;Plizga D.;Maslowski M.;Grzyb R.;Dudek S.;Kupisz T.;Wójcicki J.;Piatkowski M.;Geworgian W.;A
20.07.2013;18:00;Widzew Łódź;Legia Warszawa;2013/2014;;;1;9,83;4,68;1,31;5;11,42;5,6;1,37;11,35;5,22;1,33;0;0;11;18;2;4;0,41;0,59;5;8;24;10;1;6;5;7;3;8;;;8;15;28;28;3;1;Mielcarz M.;Kuciak D.;Bartkowski J.;Rzeźniczak J.;Phibel T.;Cichocki M.;Abbes H.;Jodłowiec T.;Tomczyk K.;Brzyski T.;Okachi P.;Furman D.;Kwiek D.;Pinto H.;Kasprzak B.;Kucharczyk M.;Alex B.;Radovic M.;Rybicki M.;Żyro M.;Pawłowski B.;Mikita P.;H
21.07.2013;15:30;Śląsk Wrocław;Korona Kielce;2013/2014;;;0;2,87;3,11;2,46;0;3,21;3,31;2,6;3,21;3,31;2,43;0;0;9;15;4;3;0,57;0,43;2;4;16;9;0;1;3;4;5;3;6;4;14;11;29;31;2;1;Gikiewicz R.;Malkowski Z.;Socha T.;Golanski P.;Kokoszka A.;Malarczyk P.;Pawelec M.;Stano P.;Spahic A.;Lisowski T.;Mila S.;Kiełb J.;Holota T.;Jovanovic V.;Kazmierczak P.;Lenartowski A.;Sobota W.;Janota M.;Plaku S.;Sobolewski P.;Paixao M.;Golebiewski D.;D
21.07.2013;18:00;Piast Gliwice;Cracovia;2013/2014;;;3;2,74;3,11;2,56;2;3;3,25;2,74;2,85;3,21;2,74;0;0;;;6;3;0,41;0,59;5;8;15;16;;;6;8;7;7;;;13;15;19;28;0;4;Carles M.;Bernhardt E.;Cicman P.;Boljevic V.;Docekal T.;Danielewicz K.;Horvath C.;Dąbrowski D.;Jurado R.;Kosanovic M.;Krol K.;Kus M.;Lazdins A.;Marciniak A.;Podgorski T.;Pilarz K.;Polak J.;Steblecki S.;Szumski J.;Straus R.;Zbozień D.;Zytko M.;A
21.07.2013;20:30;Lech Poznań;Ruch Chorzów;2013/2014;;;1;1,92;3,25;4,02;1;2,04;3,7;4,67;1,9;3,5;4,67;1;0;;;2;1;0,56;0,44;8;7;10;10;;;2;2;4;5;;;6;7;31;27;2;1;Kotorowski K.;Kamiński K.;Mozdzen M.;Gieraga A.;Kaminski M.;Szyndrowski M.;Arboleda M.;Stawarczyk P.;Wołąkiewicz H.;Dziwniel D.;Trałka Ł.;Zienczuk M.;Drewniak S.;Malinowski M.;Ubiparip V.;Babiarz B.;Lovrencsics G.;Starzyński F.;Hamalainen K.;Janoszka L.;Teodorczyk L.;Sultes P.;D
22.07.2013;18:00;Podbeskidzie B-B;Lechia Gdańsk;2013/2014;;;2;3,75;3,33;1,96;2;4,4;3,6;2,04;4,28;3,5;1,97;0;0;9;17;5;2;0,41;0,59;1;3;25;10;1;6;4;7;3;7;0;2;7;16;31;28;1;1;Gorkiewicz T.;Bak M.;Jagiello A.;Bieniuk J.;Kolodziej D.;Dawidowicz P.;Konieczny B.;Deleu;Latka D.;Duda A.;Pawela F.;Machaj M.;Pietrasiak D.;Madera S.;Rybansky L.;Matsui D.;Sloboda A.;Oualembo C.;Telichowski B.;Pietrowski M.;Wodecki M.;Wiśniewski P.;D
26.07.2013;18:00;Lechia Gdańsk;Ruch Chorzów;2013/2014;;;1;3,09;3,17;2,29;1;3,3;3,39;2,45;3,28;3,39;2,35;0;0;12;14;2;2;0,54;0,46;9;2;15;17;;;3;3;3;3;2;3;8;9;19;23;3;2;Bak M.;Kamiński K.;Deleu;Gieraga A.;Bieniuk J.;Dziwniel D.;Madera S.;Stawarczyk P.;Oualembo C.;Szyndrowski M.;Dawidowicz P.;Babiarz B.;Pietrowski M.;Malinowski M.;Frankowski P.;Janoszka L.;Matsui D.;Starzyński F.;Wiśniewski P.;Zienczuk M.;Kugiel D.;Sultes P.;D
26.07.2013;20:30;Zawisza Bydgoszcz;Widzew Łódź;2013/2014;;;1;2,8;3,15;2,49;2;3,05;3,29;2,65;2,94;3,29;2,61;0;0;7;8;0;3;0,57;0,43;8;7;13;14;;;4;2;9;7;4;3;17;12;20;30;1;3;Kaczmarek W.;Mielcarz M.;Ziajka S.;Plotka M.;Strak P.;Augustyniak R.;Skrzynski L.;Mrozinski P.;Lewczuk I.;Hayrapetyan L.;Hermes;Okachi P.;Goulon H.;Kasprzak B.;Maslowski M.;Kaczmarek M.;Dudek S.;Staron L.;Wójcicki J.;Pawłowski B.;Abbott P.;Visnakovs E.;H
27.07.2013;18:00;Górnik Zabrze;Podbeskidzie B-B;2013/2014;;;2;2,49;3,07;2,88;1;2,65;3,2;3,12;2,6;3,17;3,09;0;0;8;19;3;7;0,53;0,47;5;0;21;14;;;9;4;2;3;6;0;17;7;30;32;1;1;Witkowski N.;Rybansky L.;Olkowski P.;Sokolowski M.;Danch A.;Pietrasiak D.;Gancarczyk S.;Konieczny B.;Kosznik R.;Telichowski B.;Malkowski M.;Malinowski P.;Sobolewski R.;Latka D.;Mączyński K.;Sloboda A.;Nakoulma P.;Jagiello A.;Przybylski M.;Kurowski K.;Zachara M.;Pawela F.;A
27.07.2013;20:30;Legia Warszawa;Pogoń Szczecin;2013/2014;;;3;1,69;3,49;5,01;0;1,8;3,9;5,69;1,71;3,76;5,69;0;1;16;17;4;6;0,56;0,44;6;6;21;16;;;9;4;8;11;4;2;21;17;24;29;5;2;Kuciak D.;Janukiewicz R.;Bereszyński B.;Frączczak A.;Dossa Junior;Golla W.;Jodłowiec T.;Dąbrowski M.;Brzyski T.;Lewandowski M.;Kosecki J.;Bak J.;Vrdoljak I.;Lawa B.;Rzeźniczak J.;Rogalski M.;Radovic M.;Akahoshi T.;Żyro M.;Murayama T.;Saganowski M.;Chalas T.;A
28.07.2013;15:30;Zagłębie Lubin;Piast Gliwice;2013/2014;;;1;3,09;3,12;2,31;2;3,52;3,25;2,52;3,52;3,23;2,31;0;0;10;11;2;3;0,43;0,57;2;4;14;9;;;4;4;8;11;0;2;12;17;34;29;1;4;Gliwa M.;Szumski J.;Rymaniak B.;Klepczynski A.;Guldan L.;Horvath C.;Banas A.;Polak J.;Oleksy P.;Krol K.;Jez R.;Cicman P.;Bilek J.;Lazdins A.;Cotra D.;Carles M.;Kwiek A.;Dytko P.;Przybecki M.;Hanzel L.;Papadopulos M.;Wilczek K.;H
28.07.2013;18:00;Jagiellonia Białystok;Śląsk Wrocław;2013/2014;;;3;4,45;3,46;1,78;2;5,09;3,8;1,83;4,9;3,67;1,82;0;0;8;7;7;3;0,5;0,5;3;6;14;12;;;6;9;4;7;2;0;12;16;25;19;3;4;Slowik J.;Gikiewicz R.;Norambuena A.;Socha T.;Baran M.;Kokoszka A.;Straus J.;Pawelec M.;Pazdan M.;Dudu;Grzyb R.;Holota T.;Tosik J.;Kazmierczak P.;Kupisz T.;Sobota W.;Gajos M.;Stevanovic D.;Quintana D.;Patejuk S.;Piatkowski M.;Plaku S.;A
28.07.2013;20:30;Cracovia;Lech Poznań;2013/2014;;;1;9,13;4,28;1,36;1;11;4,95;1,41;10,15;4,95;1,38;1;0;12;12;2;1;0,5;0,5;1;6;15;15;;;2;3;3;3;1;6;6;12;21;28;4;2;Pilarz K.;Kotorowski K.;Marciniak A.;Ceesay K.;Kus M.;Arboleda M.;Zytko M.;Wołąkiewicz H.;Kosanovic M.;Kędziora T.;Szeliga S.;Pawlowski S.;Straus R.;Trałka Ł.;Bernhardt E.;Mozdzen M.;Steblecki S.;Drygas K.;Danielewicz K.;Lovrencsics G.;Boljevic V.;Slusarski B.;D
29.07.2013;18:00;Wisła Kraków;Korona Kielce;2013/2014;;;3;3,28;3,11;2,23;2;3,5;3,23;2,4;3,5;3,23;2,31;0;0;13;11;4;0;0,49;0,51;3;7;12;13;;;3;6;8;12;3;1;14;19;17;37;2;0;Miskiewicz M.;Malkowski Z.;Bunoza G.;Golanski P.;Glowacki A.;Malarczyk P.;Nalepa M.;Stano P.;Stolarski P.;Lisowski T.;Malecki P.;Kiełb J.;Stjepanovic O.;Jovanovic V.;Gargula L.;Lenartowski A.;Sarki E.;Janota M.;Chrapek M.;Sobolewski P.;Boguski R.;Golebiewski D.;A
02.08.2013;18:00;Ruch Chorzów;Cracovia;2013/2014;;;1;2,83;3,14;2,48;2;3,05;3,33;2,64;3,02;3,33;2,54;0;0;13;12;8;1;0,31;0,69;2;7;17;14;0;2;2;10;4;7;0;3;6;20;25;19;3;1;Kamiński K.;Pilarz K.;Gieraga A.;Kus M.;Szyndrowski M.;Kosanovic M.;Stawarczyk P.;Zytko M.;Konczkowski M.;Marciniak A.;Surma L.;Straus R.;Malinowski M.;Szeliga S.;Sultes P.;Danielewicz K.;Babiarz B.;Steblecki S.;Zienczuk M.;Boljevic V.;Kuswik G.;Dudzic B.;H
02.08.2013;20:30;Pogoń Szczecin;Zawisza Bydgoszcz;2013/2014;;;1;3,3;3,21;2,18;1;3,68;3,4;2,27;3,68;3,32;2,2;0;0;12;10;4;3;0,55;0,45;5;5;9;15;2;0;4;5;2;4;4;1;10;10;21;27;2;1;Janukiewicz R.;Kaczmarek W.;Frączczak A.;Lewczuk I.;Golla W.;Skrzynski L.;Dąbrowski M.;Strak P.;Lewandowski M.;Ziajka S.;Bak J.;Goulon H.;Lawa B.;Hermes;Rogalski M.;Wójcicki J.;Murayama T.;Dudek S.;Chalas T.;Maslowski M.;Akahoshi T.;Abbott P.;D
03.08.2013;18:00;Korona Kielce;Widzew Łódź;2013/2014;;;1;2,51;3,12;2,82;2;2,85;3,25;3,05;2,56;3,23;3,04;1;0;19;22;0;1;0,42;0,58;2;3;23;19;1;1;2;2;3;10;1;2;6;14;27;26;3;6;Malkowski Z.;Mielcarz M.;Kuzera K.;Stepinski P.;Malarczyk P.;Augustyniak R.;Stano P.;Phibel T.;Golanski P.;Hayrapetyan L.;Jovanovic V.;Rybicki M.;Lenartowski A.;Kasprzak B.;Sobolewski P.;Okachi P.;Janota M.;Kaczmarek M.;Kiełb J.;Kowalski T.;Golebiewski D.;Visnakovs E.;H
03.08.2013;20:30;Podbeskidzie B-B;Legia Warszawa;2013/2014;;;0;10,63;5,18;1,28;4;13,02;6,2;1,31;12,02;5,68;1,31;0;0;9;15;5;1;0,32;0,68;6;11;24;10;4;9;1;9;6;9;1;5;8;23;15;18;1;0;Rybansky L.;Kuciak D.;Gorkiewicz T.;Broz L.;Konieczny B.;Cichocki M.;Pietrasiak D.;Dossa Junior;Kwame F.;Wawrzyniak J.;Sloboda A.;Jodłowiec T.;Deja A.;Vrdoljak I.;Jagiello A.;Ojamaa H.;Urban R.;Pinto H.;Wodecki M.;Żyro M.;Pawela F.;Saganowski M.;H
04.08.2013;15:30;Piast Gliwice;Górnik Zabrze;2013/2014;;;1;3,59;3,31;2,03;2;4,04;3,42;2,1;4,04;3,42;2,06;0;0;21;14;5;0;0,42;0,58;7;7;16;23;1;2;1;7;7;8;2;2;10;17;31;30;4;2;Carles M.;Danch A.;Cicman P.;Gancarczyk S.;Horvath C.;Kosznik R.;Jurado R.;Malkowski M.;Krol K.;Mączyński K.;Lazdins A.;Nakoulma P.;Podgorski T.;Olkowski P.;Polak J.;Przybylski M.;Robak M.;Sobolewski R.;Szumski J.;Witkowski N.;Zbozień D.;Zachara M.;H
04.08.2013;18:00;Wisła Kraków;Śląsk Wrocław;2013/2014;;;0;3,66;3,34;2;0;4;3,5;2,11;3,87;3,47;2,09;0;0;15;12;8;2;0,42;0,58;10;12;15;17;0;3;2;8;1;7;1;5;4;20;24;23;4;3;Boguski R.;Gavish O.;Brożek Pa.;Gikiewicz R.;Bunoza G.;Holota T.;Burliga L.;Kokoszka A.;Chrapek M.;Mila S.;Gargula L.;Ostrowski K.;Glowacki A.;Paixao M.;Jovanovic M.;Patejuk S.;Miskiewicz M.;Socha T.;Nalepa M.;Spahic A.;Stjepanovic O.;Stevanovic D.;D
04.08.2013;20:30;Lech Poznań;Zagłębie Lubin;2013/2014;;;0;2,12;3,22;3,39;0;2,25;3,5;3,9;2,21;3,33;3,66;0;0;6;11;0;3;0,62;0,38;8;6;17;10;5;5;3;0;7;3;3;2;13;5;31;21;0;2;Kotorowski K.;Gliwa M.;Kędziora T.;Banas A.;Kaminski M.;Oleksy P.;Ceesay K.;Guldan L.;Wołąkiewicz H.;Bilek J.;Drewniak S.;Rymaniak B.;Trałka Ł.;Piątek L.;Lovrencsics G.;Cotra D.;Hamalainen K.;Jez R.;Pawlowski S.;Przybecki M.;Ubiparip V.;Wozniak A.;D
05.08.2013;18:00;Jagiellonia Białystok;Lechia Gdańsk;2013/2014;;;0;3,36;3,22;2,15;2;3,65;3,41;2,29;3,58;3,41;2,2;0;0;13;18;3;0;0,57;0,43;4;4;17;16;3;1;0;5;3;7;5;2;8;14;34;29;3;2;Slowik J.;Bak K.;Norambuena A.;Deleu;Baran M.;Bieniuk J.;Pazdan M.;Madera S.;Straus J.;Pazio A.;Grzyb R.;Dawidowicz P.;Tosik J.;Pietrowski M.;Quintana D.;Frankowski P.;Gajos M.;Matsui D.;Kupisz T.;Grzelczak P.;Balaj B.;Buzala P.;H
09.08.2013;18:00;Zagłębie Lubin;Podbeskidzie B-B;2013/2014;;;0;2,48;3,14;2,83;0;2,86;3,36;3,1;2,57;3,36;2,96;0;0;16;14;6;2;0,44;0,56;6;8;14;17;1;0;2;6;4;8;2;5;8;19;20;25;0;1;Gliwa M.;Rybansky L.;Rymaniak B.;Gorkiewicz T.;Guldan L.;Konieczny B.;Banas A.;Pietrasiak D.;Oleksy P.;Kwame F.;Piątek L.;Sloboda A.;Bilek J.;Latka D.;Przybecki M.;Chmiel D.;Kwiek A.;Wodecki M.;Cotra D.;Jagiello A.;Wozniak A.;Pawela F.;D
09.08.2013;20:30;Jagiellonia Białystok;Wisła Kraków;2013/2014;;;1;3,56;3,25;2,06;1;4,15;3,45;2,15;3,9;3,4;2,11;0;0;19;19;6;1;0,48;0,52;5;4;22;20;1;4;2;7;7;4;2;2;11;13;33;30;5;4;Bandrowski T.;Boguski R.;Baran M.;Brożek Pa.;Gajos M.;Bunoza G.;Grzyb R.;Burliga L.;Kupisz T.;Chrapek M.;Pazdan M.;Gargula L.;Piatkowski M.;Glowacki A.;Plizga D.;Jovanovic M.;Slowik J.;Malecki P.;Straus J.;Miskiewicz M.;Tosik J.;Stjepanovic O.;D
10.08.2013;15:30;Górnik Zabrze;Widzew Łódź;2013/2014;;;3;2,23;3,17;3,23;0;2,45;3,38;3,69;2,18;3,38;3,69;0;0;;;3;0;0,5;0,5;4;3;15;28;;;2;3;5;9;;;7;12;27;43;2;2;Witkowski N.;Mielcarz M.;Olkowski P.;Augustyniak R.;Danch A.;Phibel T.;Gancarczyk S.;Hayrapetyan L.;Kosznik R.;Okachi P.;Nakoulma P.;Batrovic V.;Sobolewski R.;Kasprzak B.;Mączyński K.;Staron L.;Malkowski M.;Kaczmarek M.;Przybylski M.;Visnakovs E.;Zachara M.;Stepinski P.;A
10.08.2013;18:00;Cracovia;Lechia Gdańsk;2013/2014;;;1;3,97;3,3;1,93;3;4,55;3,5;2,02;4,34;3,48;1,97;0;0;15;13;5;0;0,58;0,42;2;3;16;18;1;2;1;8;4;8;4;2;9;18;27;24;1;1;Pilarz K.;Bak M.;Kus M.;Deleu;Zytko M.;Bieniuk J.;Kosanovic M.;Madera S.;Marciniak A.;Pazio A.;Szeliga S.;Frankowski P.;Bernhardt E.;Pietrowski M.;Danielewicz K.;Dawidowicz P.;Straus R.;Wiśniewski P.;Steblecki S.;Grzelczak P.;Nowak D.;Buzala P.;H
10.08.2013;20:30;Legia Warszawa;Ruch Chorzów;2013/2014;;;1;1,59;3,77;5,57;2;1,73;4,26;7,05;1,54;4,26;7,05;0;0;2;1;1;8;0,51;0,49;9;6;12;21;1;1;9;3;2;5;0;1;11;9;25;23;4;4;Kuciak D.;Kamiński K.;Broz L.;Gieraga A.;Cichocki M.;Stawarczyk P.;Dossa Junior;Szyndrowski M.;Brzyski T.;Dziwniel D.;Furman D.;Surma L.;Jodłowiec T.;Malinowski M.;Kosecki J.;Wlodyka K.;Pinto H.;Starzyński F.;Kucharczyk M.;Zienczuk M.;Saganowski M.;Kuswik G.;H
11.08.2013;15:30;Śląsk Wrocław;Pogoń Szczecin;2013/2014;;;2;2,43;3,16;2,89;2;2,61;3,31;3,15;2,61;3,3;2,95;0;0;12;16;1;5;0,49;0,51;5;8;21;13;0;5;7;3;11;8;3;1;21;12;23;32;3;2;Kelemen M.;Janukiewicz R.;Ostrowski K.;Frączczak A.;Gavish O.;Dąbrowski M.;Kokoszka A.;Golla W.;Dudu;Lewandowski M.;Kazmierczak P.;Lawa B.;Stevanovic D.;Rogalski M.;Sobota W.;Bak J.;Mila S.;Akahoshi T.;Patejuk S.;Murayama T.;Paixao M.;Chalas T.;D
11.08.2013;18:00;Korona Kielce;Lech Poznań;2013/2014;;;0;6,59;3,78;1,53;2;8,5;4,3;1,63;7,74;3,94;1,56;0;0;6;11;3;1;0,46;0,54;3;11;15;10;4;3;1;5;4;6;5;4;10;15;26;29;1;0;Malecki W.;Kotorowski K.;Golanski P.;Mozdzen M.;Stano P.;Kaminski M.;Malarczyk P.;Wołąkiewicz H.;Sylwestrzak K.;Henriquez L.;Jovanovic V.;Pawlowski S.;Lenartowski A.;Trałka Ł.;Sobolewski P.;Hamalainen K.;Janota M.;Lovrencsics G.;Kiełb J.;Teodorczyk L.;Golebiewski D.;Ubiparip V.;H
12.08.2013;18:00;Zawisza Bydgoszcz;Piast Gliwice;2013/2014;;;1;3,86;3,3;1,95;1;4,5;3,6;2,08;4,01;3,44;2,06;0;0;14;15;2;6;0,47;0,53;5;7;17;15;1;3;7;3;7;5;6;2;20;10;25;20;3;2;Kaczmarek W.;Trela D.;Lewczuk I.;Zbozień D.;Strak P.;Polak J.;Skrzynski L.;Horvath C.;Ziajka S.;Krol K.;Goulon H.;Matras M.;Dudek S.;Hanzel L.;Wójcicki J.;Izvolt M.;Maslowski M.;Jurado R.;Geworgian W.;Podgorski T.;Vasconcelos B.;Robak M.;D
23.08.2013;18:00;Cracovia;Zagłębie Lubin;2013/2014;;Stadion Zagłębia Lubin (Lubin);1;3,92;3,29;1,94;0;4,45;3,5;2,1;4,24;3,43;2,02;0;0;11;4;4;2;0,66;0,34;6;6;4;13;2;0;3;4;7;5;4;4;14;13;26;25;3;3;Pilarz K.;Gliwa M.;Kus M.;Rymaniak B.;Zytko M.;Guldan L.;Marciniak A.;Banas A.;Jaroszynski P.;Cotra D.;Dąbrowski D.;Bonecki S.;Boljevic V.;Piątek L.;Straus R.;Blad A.;Danielewicz K.;Kwiek A.;Steblecki S.;Azikiewicz P.;Nowak D.;Papadopulos M.;A
23.08.2013;20:30;Ruch Chorzów;Górnik Zabrze;2013/2014;;Stadion im. Ernesta Pohla (Zabrze);2;4,19;3,37;1,86;2;4,75;3,61;2;4,7;3,61;1,87;0;0;13;12;1;2;0,46;0,54;7;4;17;13;0;5;4;3;3;4;3;3;10;10;28;31;1;0;Kamiński K.;Witkowski N.;Babiarz B.;Olkowski P.;Szyndrowski M.;Danch A.;Mrowiec A.;Shevelyukhin A.;Wlodyka K.;Kosznik R.;Konczkowski M.;Sobolewski R.;Janoszka L.;Przybylski M.;Surma L.;Malkowski M.;Malinowski M.;Mączyński K.;Kuswik G.;Nakoulma P.;Zienczuk M.;Zachara M.;D
24.08.2013;15:30;Podbeskidzie B-B;Zawisza Bydgoszcz;2013/2014;;Stadion im. Zdzisława Krzyszkowiaka (Bydgoszcz);2;4,02;3,49;1,87;2;4,75;3,91;2,1;4,65;3,78;1,83;0;0;19;16;5;3;0,52;0,48;4;3;13;20;2;0;5;7;6;6;3;2;14;15;20;19;1;3;Rybansky L.;Kaczmarek W.;Sokolowski M.;Lewczuk I.;Konieczny B.;Micael A.;Pietrasiak D.;Strak P.;Telichowski B.;Ziajka S.;Deja A.;Dudek S.;Latka D.;Hermes;Malinowski P.;Wójcicki J.;Wodecki M.;Maslowski M.;Chmiel D.;Petasz P.;Chrapek K.;Vasconcelos B.;D
24.08.2013;18:00;Pogoń Szczecin;Jagiellonia Białystok;2013/2014;;;3;3,45;3,18;2,13;2;3,75;3,4;2,29;3,51;3,32;2,27;0;0;14;16;2;1;0,46;0,54;4;4;19;16;3;2;4;4;7;11;0;3;11;18;12;21;3;1;Janukiewicz R.;Slowik J.;Frączczak A.;Popkhadze G.;Golla W.;Pazdan M.;Hernani;Baran M.;Lewandowski M.;Norambuena A.;Lawa B.;Bandrowski T.;Ouedraogo A.;Tosik J.;Murayama T.;Kupisz T.;Akahoshi T.;Quintana D.;Tchami H.;Gajos M.;Robak M.;Piatkowski M.;A
24.08.2013;20:30;Lechia Gdańsk;Legia Warszawa;2013/2014;;Stadion Wojska Polskiego (Warszawa);1;5,42;3,6;1,64;0;6,2;3,91;1,75;5,74;3,91;1,68;0;0;29;11;7;2;0,38;0,62;0;9;14;32;2;2;3;7;4;13;1;2;8;22;19;32;4;2;Malkowski S.;Kuciak D.;Deleu;Broz L.;Bieniuk J.;Cichocki M.;Madera S.;Suler M.;Pazio A.;Brzyski T.;Pietrowski M.;Łukasik D.;Dawidowicz P.;Pinto H.;Frankowski P.;Żyro M.;Matsui D.;Mikita P.;Wiśniewski P.;Ojamaa H.;Buzala P.;Dvalishvili V.;A
25.08.2013;15:30;Widzew Łódź;Śląsk Wrocław;2013/2014;;Tarczyński Arena (Wrocław);1;5,67;3,68;1,6;3;6,7;4;1,67;5,7;4;1,67;0;0;7;13;4;2;0,39;0,61;2;6;16;7;0;3;3;7;8;5;0;3;11;15;27;26;0;1;Mielcarz M.;Gikiewicz R.;Stepinski P.;Socha T.;Mrozinski P.;Kokoszka A.;Phibel T.;Gavish O.;Bartkowski J.;Dudu;Nowak K.;Stevanovic D.;Okachi P.;Kazmierczak P.;Kaczmarek M.;Sobota W.;Batrovic V.;Mila S.;Hayrapetyan L.;Patejuk S.;Visnakovs E.;Paixao M.;H
25.08.2013;18:00;Lech Poznań;Wisła Kraków;2013/2014;;Stadion Miejski im. Henryka Reymana (Kraków);0;2,28;3,12;3,18;2;2,5;3,26;3,57;2,29;3,26;3,57;0;0;13;15;3;8;0,5;0,5;5;7;17;16;2;2;8;5;7;6;5;2;20;13;16;31;3;2;Kotorowski K.;Miskiewicz M.;Mozdzen M.;Burliga L.;Wołąkiewicz H.;Glowacki A.;Kaminski M.;Jovanovic M.;Henriquez L.;Bunoza G.;Trałka Ł.;Stjepanovic O.;Lovrencsics G.;Chrapek M.;Pawlowski S.;Sarki E.;Hamalainen K.;Gargula L.;Ubiparip V.;Malecki P.;Teodorczyk L.;Brożek Pa.;H
26.08.2013;18:00;Piast Gliwice;Korona Kielce;2013/2014;;Suzuki Arena (Kielce);0;3,32;3,18;2,19;2;3,95;3,32;2,5;3,63;3,32;2,21;0;0;17;20;2;2;0,46;0,54;9;6;23;20;3;3;2;4;8;4;5;2;15;10;34;32;3;2;Trela D.;Malkowski Z.;Zbozień D.;Golanski P.;Matras M.;Malarczyk P.;Horvath C.;Dejmek R.;Krol K.;Sylwestrzak K.;Lazdins A.;Jovanovic V.;Carles M.;Staporski M.;Izvolt M.;Janota M.;Wilczek K.;Sobolewski P.;Podgorski T.;Kiełb J.;Jurado R.;Angielski K.;H
30.08.2013;18:00;Górnik Zabrze;Lechia Gdańsk;2013/2014;;Polsat Plus Arena (Gdańsk);1;3,13;3,15;2,28;1;3,59;3,27;2,5;3,59;3,27;2,25;0;0;12;15;3;4;0,53;0,47;6;8;21;12;1;5;5;4;5;8;1;0;11;12;32;36;4;2;Steinbors P.;Malkowski S.;Olkowski P.;Deleu;Danch A.;Bieniuk J.;Shevelyukhin A.;Madera S.;Gancarczyk S.;Pazio A.;Mączyński K.;Dawidowicz P.;Sobolewski R.;Pietrowski M.;Nakoulma P.;Frankowski P.;Przybylski M.;Matsui D.;Malkowski M.;Wiśniewski P.;Zachara M.;Buzala P.;D
30.08.2013;18:00;Zagłębie Lubin;Ruch Chorzów;2013/2014;;Stadion Ruchu Chorzów (Chorzów);2;3,12;3,22;2,26;0;3,65;3,49;2,4;3,33;3,49;2,26;0;0;13;9;4;2;0,46;0,54;7;10;8;16;3;0;4;4;3;5;2;5;9;14;18;20;2;4;Gliwa M.;Kamiński K.;Vidanov P.;Konczkowski M.;Guldan L.;Szyndrowski M.;Banas A.;Mrowiec A.;Oleksy P.;Dziwniel D.;Piątek L.;Malinowski M.;Wozniak A.;Surma L.;Rakowski A.;Wlodyka K.;Kwiek A.;Sultes P.;Cotra D.;Janoszka L.;Papadopulos M.;Jankowski M.;A
