Data;Godzina;Goście;Gospodarze;Sezon;Stadion;Sędzia;AG;AvgA;AvgD;AvgH;HG;MaxA;MaxD;MaxH;PA;PD;PH;Czerwone kartki A;Czerwone kartki H;Faule A;Faule H;Interwencje bramkarzy A;Interwencje bramkarzy H;Posiadanie piłki A;Posiadanie piłki H;Rzuty rożne A;Rzuty rożne H;Rzuty wolne A;Rzuty wolne H;Spalone A;Spalone H;Strzały na bramkę A;Strzały na bramkę H;Strzały niecelne A;Strzały niecelne H;Strzały zablokowane A;Strzały zablokowane H;Sytuacje bramkowe A;Sytuacje bramkowe H;Wrzuty z autu A;Wrzuty z autu H;Żółte kartki A;Żółte kartki H;Zawodnik 1 A;Zawodnik 1 H;Zawodnik 2 A;Zawodnik 2 H;Zawodnik 3 A;Zawodnik 3 H;Zawodnik 4 A;Zawodnik 4 H;Zawodnik 5 A;Zawodnik 5 H;Zawodnik 6 A;Zawodnik 6 H;Zawodnik 7 A;Zawodnik 7 H;Zawodnik 8 A;Zawodnik 8 H;Zawodnik 9 A;Zawodnik 9 H;Zawodnik 10 A;Zawodnik 10 H;Zawodnik 11 A;Zawodnik 11 H;Res
26.11.2018;18:00;Wisła Kraków;Arka Gdynia;2018/2019;Stadion GOSiR (Gdynia);Stefanski D. (Pol);1;3,17;3,32;2,22;4;3,4;3,48;2,31;3,29;3,45;2,28;0;0;9;11;8;5;0,42;0,58;9;14;;;0;2;6;12;14;20;;;20;32;;;1;1;Lis M.;Steinbors P.;Palcic M.;Zbozień D.;Wasilewski M.;Maric L.;Sadlok M.;Helstrup F.;Pietrzak R.;Marciniak A.;Kort D.;Deja A.;Halilovic T.;Nalepa M.;Boguski R.;Zarandia L.;Imaz J.;Janota M.;Kostal M.;Aankour N.;Ondrasek Z.;Jankowski M.;H
30.11.2018;18:00;Lechia Gdańsk;Śląsk Wrocław;2018/2019;Tarczyński Arena (Wrocław);Kwiatkowski T. (Pol);2;3,03;3,18;2,36;0;3,21;3,33;2,5;3,21;3,33;2,39;0;0;21;10;2;2;0,42;0,58;4;7;;;1;0;4;2;6;13;;;10;15;;;4;2;Alomerovic Z.;Wrabel J.;Fila K.;Broz L.;Nalepa M.;Celeban P.;Augustyn B.;Golla W.;Mladenovic F.;Cotra D.;Makowski T.;Pich R.;Łukasik D.;Tarasovs I.;Kubicki J.;Pałaszewski M.;Wolski R.;Gaska D.;Paixao F.;Piech A.;Haraslin L.;Robak M.;A
30.11.2018;20:30;Arka Gdynia;Jagiellonia Białystok;2018/2019;Stadion Miejski (Białystok);Przybyl J. (Pol);1;3,79;3,3;1,99;3;4,08;3,46;2,05;4,08;3,46;2;0;1;22;8;5;4;0,49;0,51;3;7;;;0;1;5;8;8;11;;;13;19;;;2;0;Steinbors P.;Kelemen M.;Zbozień D.;Burliga L.;Maric L.;Runje I.;Helstrup F.;Mitrovic N.;Marciniak A.;Bodvarsson B.;Deja A.;Poletanovic M.;Nalepa M.;Romanczuk T.;Zarandia L.;Sheridan C.;Janota M.;Pospisil M.;Aankour N.;Novikovas A.;Jankowski M.;Świderski K.;H
01.12.2018;15:30;Górnik Zabrze;Wisła Płock;2018/2019;Orlen Stadion (Płock);Stefanski D. (Pol);4;4,58;3,66;1,74;0;4,96;3,85;1,84;4,96;3,77;1,76;0;0;19;7;6;2;0,44;0,56;2;5;;;8;3;6;6;5;9;;;11;15;;;1;1;Loska T.;Dahne T.;Wolniewicz A.;Stepinski P.;Suarez D.;Uryga A.;Bochniewicz P.;Dzwigala A.;Koj M.;Warcholak M.;Zapolnik K.;Furman D.;Matuszek S.;Rasak D.;Ambrosiewicz M.;Varela N.;Jimenez J.;Szymański D.;Wolsztyński L.;Merebashvili G.;Angulo I.;Ricardinho;A
01.12.2018;18:00;Wisła Kraków;Miedź Legnica;2018/2019;Stadion im. Orła Białego (Legnica);Szczech Ł. (Pol);0;2,68;3,41;2,48;2;2,8;3,6;2,6;2,74;3,58;2,58;0;0;4;10;1;3;0,68;0,32;7;2;;;4;1;3;2;6;8;;;9;10;;;;;Lis M.;Kanibolotsky A.;Bartkowski J.;Bartczak G.;Arsenić Z.;Osyra K.;Sadlok M.;Miljkovic A.;Pietrzak R.;Zieliński P.;Halilovic T.;Fernandez B.;Plewka P.;Purzycki A.;Boguski R.;Camara J.;Imaz J.;Ojamaa H.;Kostal M.;Forsell P.;Ondrasek Z.;Piatkowski M.;H
01.12.2018;20:30;Korona Kielce;Legia Warszawa;2018/2019;Stadion Wojska Polskiego (Warszawa);Musial T. (Pol);0;4,51;3,52;1,78;3;4,82;3,75;1,85;4,82;3,61;1,82;1;0;26;20;4;3;0,51;0,49;3;3;22;0;2;2;3;7;4;5;;;7;12;;;4;3;Hamrol M.;Majecki R.;Rymaniak B.;Vesovic M.;Marquez I.;Remy W.;Diaw E. P.;Jędrzejczyk A.;Gardawski M.;Hlousek A.;Cebula M.;Martins A.;Żubrowski J.;Cafu;Petrak O.;Kucharczyk M.;Jukic I.;Szymański S.;Soriano E.;Nagy D.;Pucko M.;Carlitos;H
02.12.2018;15:30;Zagłębie Lubin;Zagłębie Sosnowiec;2018/2019;Stadion Ludowy (Sosnowiec);Myc W. (Pol);2;2,74;3,41;2,44;1;2,85;3,6;2,54;2,81;3,6;2,52;0;0;17;20;5;1;0,51;0,49;4;8;;;2;1;3;6;6;10;;;9;16;;;4;2;Hładun D.;Kudła D.;Kopacz B.;Heinloth M.;Dąbrowski M.;Jedrych A.;Guldan L.;Cichocki M.;Balic S.;Mraz P.;Slisz B.;Pawlowski S.;Pawłowski B.;Banasiak A.;Jagiełło F.;Wrzesiński K.;Starzyński F.;Vokic D.;Bohar D.;Christovao A.;Tuszyński P.;Sanogo V.;A
02.12.2018;18:00;Lech Poznań;Cracovia;2018/2019;Stadion MKS Cracovia (Kraków);Marciniak S. (Pol);0;2,74;3,15;2,6;1;2,88;3,3;2,72;2,85;3,2;2,72;0;0;19;15;1;4;0,55;0,45;5;5;;;0;3;4;1;9;7;;;13;8;;;1;1;Buric J.;Peskovic M.;Wasielewski M.;Rapa C.;Janicki R.;Dytyatev O.;Vujadinovic N.;Datkovic N.;Kostevych V.;Siplak M.;Pedro Tiba;Diego;Trałka Ł.;Dąbrowski D.;Makuszewski M.;Gol J.;Jevtić D.;Wdowiak M.;Jóźwiak K.;Airam;Gytkjaer C.;Javi H.;H
03.12.2018;18:00;Pogoń Szczecin;Piast Gliwice;2018/2019;Stadion Miejski w Gliwicach (Gliwice);Gil P. (Pol);0;2,95;3,15;2,43;3;3,13;3,3;2,55;3,07;3,3;2,49;1;0;18;19;3;5;0,55;0,45;9;0;;;1;4;5;6;7;5;;;12;11;;;2;0;Zaluska L.;Plach F.;Stec D.;Konczkowski M.;Walukiewicz S.;Czerwiński J.;Malec M.;Sedlar A.;Matynia H.;Kirkeskov M.;Kozulj Z.;Felix J.;Podstawski T.;Hateley T.;Kowalczyk S.;Jodłowiec T.;Majewski R.;Dziczek P.;Guarrotxena I.;Valencia J.;Buksa A.;Papadopulos M.;H
07.12.2018;18:00;Piast Gliwice;Zagłębie Lubin;2018/2019;Stadion Zagłębia Lubin (Lubin);Stefanski D. (Pol);2;2,4;3,2;2,96;2;2,49;3,38;3,1;2,44;3,38;3,07;0;0;17;12;5;2;0,61;0,39;6;4;;;0;3;4;7;11;5;;;15;12;;;7;2;Plach F.;Hładun D.;Konczkowski M.;Kopacz B.;Czerwiński J.;Dąbrowski M.;Sedlar A.;Guldan L.;Kirkeskov M.;Dziwniel D.;Hateley T.;Matuszczyk A.;Dziczek P.;Pawłowski B.;Valencia J.;Poręba L.;Jodłowiec T.;Slisz B.;Felix J.;Bohar D.;Papadopulos M.;Tuszyński P.;D
